custorm_id,latitude,longitude,create_time
201804,120.1715585,30.2573483,2018-03-22 10:48:00
201804,120.1413449,30.2776016,2018-03-22 14:54:00
201804,120.2154814,30.1942523,2018-03-17 12:24:00
201804,120.2105752,30.1928445,2018-03-17 12:30:00
201804,120.2059861,30.2003367,2018-03-17 09:37:00
201804,120.2201427,30.2256244,2018-03-24 17:46:00
201804,120.2971586,30.2209861,2018-03-24 17:43:00
201804,120.2109983,30.1819943,2018-03-17 13:18:00
201804,120.215739,30.1845258,2018-03-17 15:33:00
201804,120.2134438,30.1814725,2018-03-17 13:20:00
201804,120.2024816,30.2031699,2018-03-10 07:48:00
201804,120.1569079,30.3323836,2018-03-15 21:25:00
201804,120.2245396,30.2219563,2018-03-15 07:38:00
201804,120.2108494,30.1865052,2018-03-17 15:34:00
201804,120.3017833,30.219713,2018-03-23 19:00:00
201804,120.1735216,30.2456736,2018-03-17 10:20:00
201804,120.2111138,30.1845253,2018-03-17 15:33:00
201804,120.2227968,30.2231512,2018-03-17 12:14:00
201804,120.2106061,30.1920128,2018-03-17 15:37:00
201804,120.1735216,30.2456736,2018-03-11 12:09:00
201804,120.1909955,30.1956078,2018-03-13 19:11:00
201804,120.2011017,30.2520539,2018-03-15 21:40:00
201804,120.1671376,30.3279545,2018-03-15 21:26:00
201804,120.1689821,30.327221,2018-03-18 13:32:00
201804,120.2099429,30.1986553,2018-03-18 12:51:00
201804,120.2101161,30.2022262,2018-03-18 15:23:00
201804,120.1423434,30.2888013,2018-03-18 18:18:00
201804,120.1715586,30.2583483,2018-03-18 20:50:00
201804,120.2211903,30.2246531,2018-03-18 13:05:00
201804,120.1689821,30.327221,2018-03-18 13:32:00
201804,120.2008629,30.2583948,2018-03-18 13:13:00
201804,120.1724269,30.1922207,2018-03-20 10:58:00
201804,120.2060581,30.1999803,2018-03-20 07:21:00
201804,120.2011017,30.2520539,2018-03-18 14:59:00
201804,120.2231726,30.205706,2018-03-18 12:20:00
201804,120.2227083,30.205744,2018-03-18 12:20:00
201804,120.2165478,30.2080144,2018-03-18 13:01:00
201804,120.2108494,30.1865052,2018-03-18 12:48:00
201804,120.2178065,30.1964901,2018-03-18 12:56:00
201804,120.2059861,30.2003367,2018-03-17 09:37:00
201804,120.3900691,30.2161739,2018-03-23 19:40:00
201804,120.2123606,30.210377,2018-03-23 08:54:00
201804,120.1919723,30.200873,2018-03-11 09:44:00
201804,120.2025718,30.2029186,2018-03-11 09:51:00
